query_id,method,ndcg@10,recall@100,recip_rank
897,bm25,1.0,1.0,1.0
898,bm25,0.6131471927654584,1.0,1.0
899,bm25,0.6131471927654584,1.0,1.0
900,bm25,0.0,0.0,0.0
901,bm25,1.0,1.0,1.0
902,bm25,1.0,1.0,1.0
908,bm25,1.0,1.0,1.0
909,bm25,1.0,1.0,1.0
910,bm25,1.0,1.0,1.0
912,bm25,1.0,1.0,1.0
916,bm25,0.31546487678572877,1.0,0.125
917,bm25,1.0,1.0,1.0
919,bm25,1.0,1.0,1.0
923,bm25,1.0,1.0,1.0
925,bm25,1.0,1.0,1.0
926,bm25,1.0,1.0,1.0
927,bm25,1.0,1.0,1.0
928,bm25,1.0,1.0,1.0
929,bm25,1.0,1.0,1.0
930,bm25,1.0,1.0,1.0
933,bm25,1.0,1.0,1.0
934,bm25,1.0,1.0,1.0
935,bm25,1.0,1.0,1.0
938,bm25,0.0,1.0,0.012195121951219513
939,bm25,0.0,0.0,0.0
940,bm25,0.6309297535714575,1.0,0.5
941,bm25,1.0,1.0,1.0
942,bm25,0.38685280723454163,1.0,0.2
944,bm25,1.0,1.0,1.0
945,bm25,0.2476427880871277,0.75,0.14285714285714285
946,bm25,0.23599633571930026,0.75,0.125
949,bm25,0.0,0.0,0.0
951,bm25,0.6309297535714575,1.0,0.5
952,bm25,1.0,1.0,1.0
953,bm25,1.0,1.0,1.0
954,bm25,1.0,1.0,1.0
955,bm25,0.0,1.0,0.02702702702702703
959,bm25,1.0,1.0,1.0
962,bm25,0.9674679834891693,1.0,1.0
963,bm25,0.37800210039683896,1.0,0.125
964,bm25,0.37800210039683896,1.0,0.125
965,bm25,0.6309297535714575,1.0,0.5
969,bm25,0.3065735963827292,1.0,0.3333333333333333
970,bm25,0.3065735963827292,1.0,0.3333333333333333
972,bm25,0.7486761295186739,1.0,0.5
973,bm25,0.9558295932317544,1.0,1.0
976,bm25,0.0,0.0,0.0
977,bm25,0.0,0.5,0.016129032258064516
978,bm25,0.0,0.0,0.0
979,bm25,1.0,1.0,1.0
980,bm25,1.0,1.0,1.0
984,bm25,1.0,1.0,1.0
988,bm25,0.0,1.0,0.045454545454545456
989,bm25,1.0,1.0,1.0
990,bm25,1.0,1.0,1.0
992,bm25,1.0,1.0,1.0
994,bm25,1.0,1.0,1.0
996,bm25,1.0,1.0,1.0
997,bm25,1.0,1.0,1.0
998,bm25,1.0,1.0,1.0
999,bm25,1.0,1.0,1.0
1000,bm25,1.0,1.0,1.0
1001,bm25,1.0,1.0,1.0
1002,bm25,0.0,0.0,0.0
1003,bm25,0.9060254355346823,1.0,1.0
1004,bm25,1.0,1.0,1.0
1005,bm25,0.9674679834891693,1.0,1.0
1006,bm25,1.0,1.0,1.0
1008,bm25,0.0,1.0,0.025
1009,bm25,1.0,1.0,1.0
1011,bm25,1.0,1.0,1.0
1015,bm25,1.0,1.0,1.0
1016,bm25,1.0,1.0,1.0
1018,bm25,1.0,1.0,1.0
1023,bm25,1.0,1.0,1.0
1025,bm25,1.0,1.0,1.0
1026,bm25,1.0,1.0,1.0
1027,bm25,1.0,1.0,1.0
1028,bm25,0.8503449055347546,1.0,1.0
1030,bm25,1.0,1.0,1.0
1031,bm25,1.0,1.0,1.0
1032,bm25,0.0,1.0,0.02631578947368421
1033,bm25,0.0,1.0,0.02631578947368421
1034,bm25,1.0,1.0,1.0
1035,bm25,1.0,1.0,1.0
1036,bm25,0.6309297535714575,1.0,0.5
1037,bm25,1.0,1.0,1.0
1038,bm25,1.0,1.0,1.0
1040,bm25,0.38162168437253385,1.0,0.14285714285714285
1042,bm25,1.0,1.0,1.0
1043,bm25,1.0,1.0,1.0
1044,bm25,1.0,1.0,1.0
1045,bm25,1.0,1.0,1.0
1046,bm25,0.0,1.0,0.0196078431372549
1047,bm25,1.0,1.0,1.0
1048,bm25,0.0,0.0,0.0
1050,bm25,0.6309297535714575,1.0,0.5
1052,bm25,0.5,1.0,0.3333333333333333
1053,bm25,0.5,1.0,0.3333333333333333
1054,bm25,1.0,1.0,1.0
1055,bm25,1.0,1.0,1.0
1056,bm25,1.0,1.0,1.0
1058,bm25,1.0,1.0,1.0
1065,bm25,1.0,1.0,1.0
1067,bm25,0.0,0.0,0.0
1068,bm25,0.0,0.0,0.0
1069,bm25,1.0,1.0,1.0
1070,bm25,0.3010299956639812,1.0,0.1111111111111111
1072,bm25,1.0,1.0,1.0
1073,bm25,1.0,1.0,1.0
1074,bm25,0.5,1.0,0.3333333333333333
1075,bm25,1.0,1.0,1.0
1081,bm25,0.5,1.0,0.3333333333333333
1084,bm25,1.0,1.0,1.0
1085,bm25,0.6309297535714575,1.0,0.5
1087,bm25,1.0,1.0,1.0
1090,bm25,1.0,1.0,1.0
1091,bm25,0.43067655807339306,1.0,0.25
1096,bm25,0.0,1.0,0.015384615384615385
1097,bm25,0.6309297535714575,1.0,0.5
1098,bm25,0.0,0.0,0.0
1101,bm25,1.0,1.0,1.0
1102,bm25,1.0,1.0,1.0
1103,bm25,1.0,1.0,1.0
1105,bm25,1.0,1.0,1.0
1106,bm25,1.0,1.0,1.0
1109,bm25,0.23719771276929622,1.0,0.2
1111,bm25,0.5,1.0,0.3333333333333333
1112,bm25,1.0,1.0,1.0
1114,bm25,1.0,1.0,1.0
1115,bm25,1.0,1.0,1.0
1118,bm25,0.5,1.0,0.3333333333333333
1119,bm25,0.8854598815714874,1.0,1.0
1120,bm25,0.9060254355346823,1.0,1.0
1125,bm25,1.0,1.0,1.0
1126,bm25,1.0,1.0,1.0
1127,bm25,0.6309297535714575,1.0,0.5
1128,bm25,0.18457569677956817,0.5,0.1111111111111111
1133,bm25,1.0,1.0,1.0
1134,bm25,1.0,1.0,1.0
1135,bm25,1.0,1.0,1.0
1136,bm25,1.0,1.0,1.0
1138,bm25,0.0,0.0,0.0
1139,bm25,1.0,1.0,1.0
1141,bm25,1.0,1.0,1.0
1142,bm25,1.0,1.0,1.0
1145,bm25,1.0,1.0,1.0
1148,bm25,1.0,1.0,1.0
1153,bm25,1.0,1.0,1.0
1156,bm25,0.43067655807339306,1.0,0.25
1157,bm25,1.0,1.0,1.0
1158,bm25,1.0,1.0,1.0
1159,bm25,1.0,1.0,1.0
1161,bm25,0.0,1.0,0.012658227848101266
1162,bm25,1.0,1.0,1.0
1164,bm25,0.31546487678572877,1.0,0.125
1165,bm25,0.2890648263178879,1.0,0.1
1166,bm25,0.6309297535714575,1.0,0.5
1168,bm25,1.0,1.0,1.0
1169,bm25,1.0,1.0,1.0
1170,bm25,1.0,1.0,1.0
1171,bm25,1.0,1.0,1.0
1173,bm25,1.0,1.0,1.0
1174,bm25,0.0,1.0,0.018518518518518517
1176,bm25,1.0,1.0,1.0
1177,bm25,1.0,1.0,1.0
1178,bm25,0.0,1.0,0.019230769230769232
1181,bm25,1.0,1.0,1.0
